category,title_ar,title_en,slug,active_period,school,status,note
thinkers,ماريا روساريو ألفيلور,Ma. Rosario Alfelor,thk-ma-rosario-alfelor,2005,Sikolohiyang Pilipino (Filipino Psychology),UNCERTAIN,"Searched but not found. Sikolohiyang Pilipino field and its founder (Virgilio Enriquez) are well documented, but no source confirms a specific figure named 'Ma. Rosario Alfelor' as a documented theorist/practitioner in that field."
thinkers,مادلين ساندبرغ,Madeleine Sandberg,thk-madeleine-sandberg,2010,التركيز (Focusing),VERIFIED,"Found on focusing.org (The Focusing Institute) as a presenter at the Third Felt Sense Conference; described as running an online private psychotherapy practice, currently in Calgary, Canada. Matches the Focusing school. Biographical/date details beyond this could not be independently corroborated."
thinkers,مهارشي ماهيش يوغي,Maharishi Mahesh Yogi,thk-maharishi,1955-2008,علم النفس الأيورفيدي/الهندي التقليدي,VERIFIED,"Real, extensively documented. Born Mahesh Prasad Varma (birth year debated, commonly cited 1917 or 1918; Wikipedia notes 12 Jan 1911?), died 5 Feb 2008. Founder of Transcendental Meditation, began teaching mid-1950s. active_period 1955-2008 is accurate and well supported."
thinkers,ماريان ماهونِي,Marian J. Mahoney,thk-mahoney,1990,Filial Therapy (العلاج العلائقي الوالد-الطفل),UNCERTAIN,"Searched but not found. Filial Therapy's documented founders/leading figures are Bernard and Louise Guerney; no source found for a 'Marian J. Mahoney' associated with Filial Therapy."
thinkers,ماورو أندولفي,Mauro Andolfi,thk-mandolfi,1980,العلاج الأسري الميلاني (Milan Systemic),VERIFIED,"Real person, but name appears to be a transliteration/typo: the actual internationally known family therapist is Maurizio Andolfi, MD (b. 1942), a founding figure of Italian relational/family therapy (not strictly the 'Milan school' proper, though closely associated with Italian systemic family therapy history). Recommend correcting title_en to 'Maurizio Andolfi'."
thinkers,مارسيا ماركس,Marcia B. Marx,thk-marciamarx,1990,السيكودراما والسوسيومتري (Moreno),UNCERTAIN,"Searched but not found. No source located for 'Marcia B. Marx' in psychodrama/sociometry literature. Note: a well-known psychodrama figure with a similar first name is Marcia Karp (interviewer of Zerka Moreno), but no evidence links her to the surname 'Marx' or that this is the same person."
thinkers,مارغريت بلوستين,Margaret Bluestein,thk-margaret-bluestein,2010,الأنساق الأسرية الداخلية (IFS),UNCERTAIN,"Searched but not found. No IFS-related source (IFS Institute directory, articles, trainer listings) surfaced a 'Margaret Bluestein'."
thinkers,مارغريت بودكن,Margaret L. Bodkin,thk-margaretbodkin,1990,العلاج بالخبرة/التجريبي,UNCERTAIN,"Searched but not found. Results returned several unrelated people named Bodkin (clinical psychologists Lauren/Gabbie/Katherine Bodkin, an obituary for a Margaret J. Bodkin) but none tied to experiential therapy."
thinkers,ماريان كركمار,Marian Krcmar,thk-marian-krcmar,2010,br-performance-psychology,UNCERTAIN,"Likely name typo. The documented scholar is Marina Krcmar (PhD, University of Wisconsin-Madison), Professor of Communication at Wake Forest University, researching children/adolescents' media use, video games, and aggression — a communication/media-effects researcher, not clearly a 'performance psychology' figure. Recommend correcting title_en to 'Marina Krcmar' and re-verifying the school/category fit before promoting to VERIFIED."
thinkers,ماريان ستروم,Marianne Ström,thk-marianne-strom,2010,العلاج بالتصوير الضوئي,UNCERTAIN,"Searched but not found. Phototherapy field is dominated by Judy Weiser (PhotoTherapy Centre); no source found for 'Marianne Ström' in this field."
