category,title_ar,title_en,slug,active_period,school
thinkers,ستيغ راسموسن,Stig Rasmussen,thk-stig-rasmussen,2000,التنويم الذاتي
thinkers,سودير كاكار,Sudhir Kakar,thk-sudhir-kakar,1970,علم النفس الفيدي (المستند إلى الفيد)
thinkers,سوزان كوخ,Susan Koch,thk-susan-koch,2000,العلاج بالحركة والرقص
thinkers,سوزان تاينز,Susan Tynes,thk-susan-tynes,2010,العلاج بالتصوير الضوئي
thinkers,سوامي أخيلاناندا,Svami Akhilananda,thk-svami-akhilananda,1930-1962,علم النفس الفيدي (المستند إلى الفيد)
thinkers,سيرينا ويـدِر,Serena Wieder,thk-swieder,1990,العلاج التكاملي-النمائي (DIR/Floortime)
thinkers,شِنزِن يانغ,Shinzen Young,thk-syoung,1980,العلاج النفسي التأملي
thinkers,توماس أشنباخ,Thomas M. Achenbach,thk-tachenbach,1966,br-pcit
thinkers,تاكيشي ياسومارو,Takeshi Yasumaru,thk-takeshiyasumaru,1950-2010,علاج نايكان
thinkers,تيريزا أندرِآس,Teresa Andreas,thk-tandreas,1990,البرمجة اللغوية العصبية (NLP)
thinkers,ثيودور باربر,Theodore Xenophon Barber,thk-tbarber,1956-2005,التنويم العلاجي السريري
thinkers,تيموثي بيكمور,Timothy Bickmore,thk-tbickmore,2000,br-ai-chatbot-therapy
thinkers,تارا براتش,Tara Brach,thk-tbrach,1998,العلاج النفسي التأملي
thinkers,تي. بيري برازيلتون,T. Berry Brazelton,thk-tbrazelton,1955-2018,علم نفس الطفل
thinkers,تينا شامبانيا,Tina Champagne,thk-tchampagne,1995,التكامل الحسي (Sensory Integration)
thinkers,تيكاني كينغي,Te Kani Kingi,thk-tekanikingi,1995,Kaupapa Māori Psychology
thinkers,تيرو أوتا,Teruo Ohta,thk-teruo-ohta,1970,علاج نايكان
thinkers,توماس فوغارتي,Thomas F. Fogarty,thk-tfogarty,1975,العلاج الأسري بالأنساق (بوين)
thinkers,تيري غيلنغهام,Terry Gillingham,thk-tgillingham,1990,هاكومي (Hakomi)
thinkers,توماس غريسو,Thomas Grisso,thk-tgrisso,1980,br-therapeutic-risk-assessment
thinkers,تيريزا غلاسر,Theresa Glasser,thk-theresaglasser,2010,العلاج التفاعلي النمائي الثنائي (DDP)
thinkers,توماس سيلز,Thomas Sells,thk-thomas-sells,2010,br-discernment-counseling
thinkers,توماس هورا,Thomas Hora,thk-thomashora,1970-1995,علم النفس الإنساني
thinkers,تيموثي كلانتون,Timothy G. Clanton,thk-timothyclanton,2018,Discernment Counseling (الاستشارة التمييزية)
thinkers,تاكيشي إيسومه,Takeshi Isomae,thk-tisoma,1990,Constructive Living
thinkers,توماس كِلِرمان,Peter Felix Kellermann,thk-tkellermann,1980,السيكودراما والسوسيومتري
thinkers,تاكيهيسا كورّا,Takehisa Kora,thk-tkora,1950-1993,علاج موريتا
