category,title_ar,title_en,slug,active_period,school,status,note
thinkers,ألكسندر بَتياني,Alexander Batthyány,thk-abatth,1998-present,br-logotherapy,VERIFIED,Real Frankl-institute scholar and editor of Viktor Frankl's collected works; logotherapy field correct.
thinkers,أوغوستو بوال,Augusto Boal,thk-aboal,1971-2009,علاج الدراما,VERIFIED,Real Brazilian theatre director (1931-2009); Theatre of the Oppressed/drama therapy techniques confirmed.
thinkers,أرماند فولكاس,Armand Volkas,thk-aboller,1985-present,الشعر العلاجي,VERIFIED,"Confirmed via search: MFT/Registered Drama Therapist  Living Arts Counseling Center  ""Healing the Wounds of History"" playback theatre."
thinkers,آدم بلاتنر,Adam Blatner,thk-adamblatner,1970-2020,السيكودراما والسوسيومتري (Moreno),VERIFIED,Real  prolific psychodrama scholar (1937-2022)  Moreno tradition.
thinkers,أبِي فاريا,Abbé Faria,thk-afaria,1813-1819,الماسمرية,VERIFIED,Real pioneer of hypnotism in Paris (1746-1819); active period matches his Paris practice years.
thinkers,أرنولد غولدشتاين,Arnold P. Goldstein,thk-agoldstein,1973-2002,br-aggression-treatment,VERIFIED,Real (1933-2002)  founder of Aggression Replacement Training.
thinkers,أليكس هالفرد,Alex Halford,thk-ahalford,1995,CBCT (العلاج الزوجي المعرفي-السلوكي),UNCERTAIN,"Search found only W.K. (Kim) Halford as a real CBCT couple-therapy researcher; no independent confirmation of an ""Alex Halford."""
thinkers,ألكسا هِبِرن,Alexa Hepburn,thk-ahepburn,1995-present,علم النفس الخطابي (Discursive Psychology),VERIFIED,Real discursive psychologist  Loughborough University.
thinkers,أدريان هيل,Adrian Hill,thk-ahill,1939-1977,العلاج بالفن,VERIFIED,"Real (1895-1977)  coined the term ""art therapy."""
thinkers,ألبرت هوفمان,Albert Hofmann,thk-ahofmann,1938-2008,العلاج بمساعدة المواد النفسانية,VERIFIED,Real chemist (1906-2008) who discovered LSD in 1938; psychedelic-assisted therapy field correct.
thinkers,أتسيلا كلاينغر,Atzila Klingner,thk-aklinger,1995,العلاج التكاملي-النمائي (DIR/Floortime),UNCERTAIN,No independent evidence found; DIR/Floortime was developed by Stanley Greenspan  no record of this named person.
thinkers,إيمي فونتانا,Amy E. Fontana,thk-albertellis-somatic,2000,الخبرة الجسدية (Somatic Experiencing),UNCERTAIN,"No confirmation found; slug mismatch (references ""albertellis"") suggests data corruption/garbled entry."
thinkers,ألكسندرا فاركاش,Alexandra Farkas,thk-alexandra-farkas,2015,العلاج الحسي-الحركي (Sensorimotor Psychotherapy),UNCERTAIN,No confirmation found; Sensorimotor Psychotherapy's known founder is Pat Ogden.
thinkers,ألي كورازون,Ali B. Coronado,thk-alicorazon,1995,Sikolohiyang Pilipino (Filipino Psychology),UNCERTAIN,No confirmation found; the documented founder of Sikolohiyang Pilipino is Virgilio Enriquez  not this name.
thinkers,أمبرواز ليبو,Ambroise-Auguste Liébeault,thk-aliebeault,1860-1904,الماسمرية,VERIFIED,Real founder of the Nancy School of hypnosis (1823-1904).
thinkers,أليكس لينلي,Alex Linley,thk-alinley,2001-present,العلاج القائم على القوة (Strengths-Based),VERIFIED,Real  founder of the Centre for Applied Positive Psychology  strengths-based approach.
thinkers,ألفين مارر,Alvin R. Mahrer,thk-alvinmahrer,1970-2010,العلاج بالخبرة/التجريبي,VERIFIED,Real experiential psychotherapy theorist (1927-2018).
thinkers,أليس ميلر,Alice Miller,thk-amiller,1979-2010,علم نفس الطفل,VERIFIED,"Real child-psychology author (1923-2010)  ""The Drama of the Gifted Child"" (1979)."
thinkers,آن ميستوفر,Ann Mithoefer,thk-amithoefer,2000-present,العلاج بمساعدة MDMA (MAPS),VERIFIED,Real MAPS-affiliated MDMA-assisted therapy researcher (with Michael Mithoefer).
thinkers,ألبرت مْنكوبِي,Albert Mn cube,thk-amncube,1995-2010,علم نفس الأوبونتو (Ubuntu),UNCERTAIN,"Name appears garbled (""Mn cube"" likely OCR artifact for Mncube); no independent record of this specific person found."
thinkers,إيمي مورغان,Amy E. Morgan,thk-amy-morgan,2010,br-sport-psychology,UNCERTAIN,"Search found multiple unrelated ""Amy Morgan"" academics; no clear match to a sport-psychology figure of this name."
thinkers,أرنه نيس,Arne Næss,thk-anaess,1973-2009,العلاج البيئي/الطبيعي,VERIFIED,"Real deep-ecology philosopher (1912-2009); coined ""deep ecology"" in 1973."
thinkers,أندرس إريكسون,Anders Ericsson,thk-andersericson,1985-2020,br-performance-psychology,VERIFIED,Real expertise/deliberate-practice researcher (1947-2020).
thinkers,إيميلي بلاك,Emily Black,thk-andrew-barnes,2015,أسلوب إلمان في التنويم,UNCERTAIN,"Name/slug mismatch (slug references ""andrew-barnes""); no independent confirmation found."
thinkers,أندرو جونسون,Andrew Johnson,thk-andrew-johnson,2010,أسلوب إلمان في التنويم,UNCERTAIN,"Name too generic to verify; no clear record connecting an ""Andrew Johnson"" to the Elman hypnosis style."
thinkers,أندرو شنك,Andrew Schnack,thk-andrew-schnack,2010,br-discernment-counseling,UNCERTAIN,No confirmation found; the documented founder of discernment counseling is Bill Doherty  not this name.
thinkers,أنغوس ماكفارلن,Angus Hikairo Macfarlane,thk-angusmacfarlane,1980-present,Kaupapa Māori Psychology,VERIFIED,Real professor  Kaupapa Māori psychology  University of Canterbury.
thinkers,أنا أريتي,Anna A. Pert,thk-apert,2000,br-ddp,UNCERTAIN,"No confirmation found; Arabic transliteration (""Ana Areti"") does not match the given English name  suggesting a garbled entry."
thinkers,أدريان راين,Adrian Raine,thk-araine,1982-present,br-aggression-treatment,VERIFIED,"Real neurocriminologist  author ""The Anatomy of Violence."""
