category,title_ar,title_en,slug,active_period,school,status,note
thinkers,مايكل واشبورن,Michael Washburn,thk-rmwashburn,1975,علم النفس التكاملي (Integral),VERIFIED,"Real transpersonal theorist (philosophy professor, Indiana U.); developed a depth-psychological/transpersonal model of ego development (1988, 1994). active_period 1975 is early/approximate; major publications are 1988+."
thinkers,روبرت بَرجِس,Robert L. Burgess,thk-robert-burgess,2012,PCIT (العلاج التفاعلي بين الوالد والطفل),UNCERTAIN,"Searched but found only a different Robert L. Burgess (Penn State family-violence/child-abuse researcher with Rand Conger, active 1970s-80s). PCIT was actually developed by Sheila Eyberg (see row for thk-seyberg). No evidence linking a Robert L. Burgess to PCIT circa 2012."
thinkers,روبرت كورنليس,Robert E. Cornell,thk-robert-cornelis,1990,التركيز (Focusing),UNCERTAIN,"Searched but found no person by this name associated with Focusing; Focusing was developed by Eugene Gendlin. Likely a fabricated/misattributed entry."
thinkers,روبرت إيميري,Robert Emery,thk-robert-emery,1990,العلاج الزوجي المرتكز على الانفعال (EFT),VERIFIED,"Real, well-documented psychologist (Univ. of Virginia) known for research on divorce, child custody and family conflict. However the school label (Emotion-Focused Therapy) appears mismatched — no evidence he is associated with EFT; his field is divorce/family psychology."
thinkers,روبرت روتيلا,Robert J. Rotella,thk-robert-rotella,1985,br-sport-psychology,VERIFIED,"Real, well-known sport psychologist (golf mental coaching), matches school label."
thinkers,روبرت دوفال,Robert Duvall,thk-robertduvall,1970-2000,الديانيتكس / السيانتولوجيا,UNCERTAIN,"Searches returned only the actor Robert Duvall (linked to Dianetics ad campaigns/pop culture references), not any psychologist or theorist. No evidence of a real thinker/practitioner by this name in Dianetics/Scientology."
thinkers,روبرت إليوت,Robert Elliott,thk-robertelliott,1985,العلاج بالخبرة/التجريبي,VERIFIED,"Real, well-documented researcher in experiential/emotion-focused therapy (well known in the field alongside Leslie Greenberg)."
thinkers,روبرت فريتز,Robert Fritz,thk-robertfritz,1975,السيبرنتيكا النفسية (Psycho-Cybernetics),UNCERTAIN,"Robert Fritz is real (author/consultant known for 'structural tension' and The Path of Least Resistance), but Psycho-Cybernetics was founded by Maxwell Maltz, not Fritz. Likely a field/label mismatch."
thinkers,روهان غوليتش,Rohan J. Gullich,thk-rohan-gullich,2005,br-sport-psychology,UNCERTAIN,"No evidence found for 'Rohan J. Gullich.' Searches strongly surface Arne Güllich, a real, prominent sport-science/talent-development researcher — likely name confusion, but could not confirm 'Rohan' as a real distinct person."
thinkers,رولاند تولنتينو,Roland B. Tolentino,thk-roland-tolentino,2000,Sikolohiyang Pilipino (Filipino Psychology),UNCERTAIN,"Roland B. Tolentino is a real scholar (Univ. of the Philippines), but his primary field is film/cultural studies, not psychology. Sikolohiyang Pilipino's founding figure is Virgilio Enriquez. His direct connection to this psychology school is unconfirmed."
thinkers,إيدا ب. رولف,Ida P. Rolf,thk-rolf,1960-1979,PBSP (Pesso Boyden System Psychomotor),VERIFIED,"Ida P. Rolf is real and well documented, but she is the founder of Rolfing/Structural Integration, NOT PBSP (which was founded by Al Pesso and Diane Boyden-Pesso). School label appears mismatched."
thinkers,رولو ماي,Rollo May,thk-rollomay,1939-1994,المدرسة الوجودية,VERIFIED,"Real, well-documented existential psychologist (1909-1994), founder of American existential psychotherapy. Matches school label."
thinkers,روزماري أَلارا,Rosemary Alara,thk-rosemaryalara,1980,الديانيتكس / السيانتولوجيا,UNCERTAIN,"Searched but found no person named Rosemary Alara connected to Dianetics/Scientology; only generic Dianetics promotional pages surfaced."
thinkers,روزاليند بيكار,Rosalind W. Picard,thk-rpicard,1995,br-ai-chatbot-therapy,VERIFIED,"Real, well-documented MIT researcher, founder of affective computing field (1997 book), matches active_period and field."
thinkers,راشِل بَرايس,Rachel Brice Price,thk-rprice,2005,Body-Mind Centering,UNCERTAIN,"Rachel Brice is a real person but is a professional belly dancer/choreographer (creator of 'Datura' style, influenced by Body-Mind Centering), not a psychotherapist or BMC theorist. BMC itself was founded by Bonnie Bainbridge Cohen. Likely a misattributed/wrong-field entry."
thinkers,روبرت رِسنيك,Robert Resnick,thk-rresnick,1990,العلاج العلائقي المجسد (ERT),VERIFIED,"Robert W. Resnick is a real, well-documented clinical psychologist and major Gestalt/couples therapy trainer (co-founder of GATLA). Note: 'Embodied Relational Therapy' is associated with Stella Resnick, a different person — possible mix-up between the two Resnicks, though Robert Resnick himself is confirmed real."
thinkers,روبرت سكاير,Robert Scaer,thk-rscaer,1992-2018,العلاج المستنير عصبيًا/بولفاغال,VERIFIED,"Real, board-certified neurologist (MD) known for trauma/dissociation and polyvagal-informed writing (The Body Bears the Burden)."
thinkers,روزان شاف,Roseann C. Schaaf,thk-rschaaf,1985,التكامل الحسي (Sensory Integration),VERIFIED,"Real, well-documented occupational therapy researcher (Thomas Jefferson University), leading figure in Ayres Sensory Integration research for autism."
thinkers,روبرت شليب,Robert Schleip,thk-rschleip,1990,الرولفينغ والتكامل الهيكلي,VERIFIED,"Real, well-documented leading fascia researcher and Rolfing/Structural Integration research director."
thinkers,روبرت شورت,Robert Short,thk-rshort,1976,علاج إيماغو العلائقي (Imago),UNCERTAIN,"No evidence found of a 'Robert Short' associated with Imago Relationship Therapy. Imago was founded by Harville Hendrix and Helen LaKelly Hunt."
thinkers,روبرت سبيتزر,Robert Spitzer,thk-rspitzer,1973-2015,العلاج بالتحويل (Conversion Therapy),VERIFIED,"Real, well-documented psychiatrist (1932-2015), Columbia University; led 1973 removal of homosexuality from DSM and later published/retracted a controversial 2001 'reparative therapy' study. Dates and field match well."
thinkers,تشو روي-لين,Zhou Ruilin,thk-ruilinzhou,2005,الطاوية المعرفية (Taoist Cognitive Therapy),UNCERTAIN,"Chinese Taoist Cognitive (Psycho)Therapy is a real, documented approach, but the researcher most consistently credited in sources is Hongxiang Zhou, not 'Zhou Ruilin.' Could not confirm this specific name as the originator/associated figure."
thinkers,روبرت بريست,Robert Priest,thk-rupertpriest,2010,طريقة فيلدنكرايس,UNCERTAIN,"Searched but found no evidence of a 'Robert Priest' associated with the Feldenkrais Method; results surfaced an unrelated poet/writer of that name."
thinkers,راسل رزّاق,Russell Razzaque,thk-russellrazzaque,2010,الحوار المفتوح,VERIFIED,"Real, well-documented UK consultant psychiatrist, leading figure in bringing Open Dialogue to the NHS (ODDESSI trial)."
thinkers,روبرتو فيارو,Roberto Viaro,thk-rviaro,1990,br-brief-strategic-therapy,UNCERTAIN,"No evidence found of a 'Roberto Viaro' associated with brief/strategic therapy; searches returned unrelated individuals of the same name (Brazil/Italy, non-psychology contexts)."
thinkers,روبرت ويليامز,Robert L. Williams,thk-rwilliams,1970-2020,علم النفس المتمركز حول أفريقيا,VERIFIED,"Real, well-documented psychologist (Robert Lee Williams II, 1930-2020), coined 'Ebonics,' founding figure in Black/Africentric psychology and ABPsi. Dates match active_period well."
thinkers,روبن ووفيت,Robin Wooffitt,thk-rwooffitt,1990,علم النفس الخطابي (Discursive Psychology),VERIFIED,"Real, well-documented academic (Emeritus Professor, University of York), major figure in discursive psychology/conversation analysis."
