category,title_ar,title_en,slug,active_period,school,status,note,page_created
thinkers,أليكس هالفرد,Alex Halford,thk-ahalford,1995,CBCT (العلاج الزوجي المعرفي-السلوكي),LIKELY_FABRICATED,"No trace of this named person found; searches return only generic CBCT literature.",FALSE
thinkers,أتسيلا كلاينغر,Atzila Klingner,thk-aklinger,1995,العلاج التكاملي-النمائي (DIR/Floortime),LIKELY_FABRICATED,"No trace found; DIR/Floortime founders are Stanley Greenspan and Serena Wieder.",FALSE
thinkers,إيمي فونتانا,Amy E. Fontana,thk-albertellis-somatic,2000,الخبرة الجسدية (Somatic Experiencing),LIKELY_FABRICATED,"No matching person found; only unrelated therapists named Fontana in the city of Fontana CA turned up.",FALSE
thinkers,ألكسندرا فاركاش,Alexandra Farkas,thk-alexandra-farkas,2015,العلاج الحسي-الحركي (Sensorimotor Psychotherapy),LIKELY_FABRICATED,"No trace found; Sensorimotor Psychotherapy was founded by Pat Ogden. Several unrelated Farkas people found but none in this field.",FALSE
thinkers,ألي كورازون,Ali B. Coronado,thk-alicorazon,1995,Sikolohiyang Pilipino (Filipino Psychology),LIKELY_FABRICATED,"No trace of this person; the real founder is Virgilio Enriquez, and the canonical review article is by Pe-Pua and Protacio-Marcelino, not any Coronado.",FALSE
thinkers,ألبرت مْنكوبِي,Albert Mn cube,thk-amncube,1995-2010,علم نفس الأوبونتو (Ubuntu),LIKELY_FABRICATED,"No trace of this specific person found; only unrelated South African academics named Mncube (education/school violence field) turned up.",FALSE
thinkers,إيمي مورغان,Amy E. Morgan,thk-amy-morgan,2010,br-sport-psychology,LIKELY_FABRICATED,"Several real people named Amy Morgan exist (exercise physiology, family therapy, clinical psychology) but none confirmed as a sport-psychology figure matching this entry.",FALSE
thinkers,إيميلي بلاك,Emily Black,thk-andrew-barnes,2015,أسلوب إلمان في التنويم,LIKELY_FABRICATED,"No trace found; Elman induction is associated with Dave Elman, not any Emily Black.",FALSE
thinkers,أندرو جونسون,Andrew Johnson,thk-andrew-johnson,2010,أسلوب إلمان في التنويم,LIKELY_FABRICATED,"A real Andrew Johnson is a well-known clinical hypnotherapist (Edinburgh), but he is known for relaxation/mindfulness recordings, not specifically the Elman induction method.",FALSE
thinkers,أندرو شنك,Andrew Schnack,thk-andrew-schnack,2010,br-discernment-counseling,LIKELY_FABRICATED,"No trace found; Discernment Counseling was founded by William (Bill) Doherty. Real people named Andrew Schnack found are lawyers, unrelated field.",FALSE
thinkers,أنا أريتي,Anna A. Pert,thk-apert,2000,br-ddp,LIKELY_FABRICATED,"No trace found; DDP was founded by Dan Hughes.",FALSE
thinkers,ألان شولتز,Alan Schultz,thk-aschultz,1990,العلاج الاجتماعي (Social Therapy),LIKELY_FABRICATED,"No trace found; Social Therapy was founded by Fred Newman. Real Alan Schultz found is a medical anthropologist, unrelated field.",FALSE
thinkers,آرثر شوهام,Arthur Shoham,thk-ashoham,1980-2010,br-brief-strategic-therapy,LIKELY_FABRICATED,"No 'Arthur Shoham' found. A real researcher in exactly this field is Varda Shoham (co-author with Rohrbaugh of 'Brief strategic couple therapy'), but first name and gender do not match, so not treated as a simple spelling variant.",FALSE
thinkers,[مؤسِّسو ISAP / IIJP / NIJA / Israel Society of Analytical Psychology],Founders of Israel Jungian associations,thk-aulanc,,مدرسة التحليل النفسي,CONFIRMED_REAL_WRONG_SCHOOL,"This is a group/organization entry, not a single named person, so no individual bio page was created. ISAP (Israel Society of Analytical Psychology), IIJP and the Israel Institute of Jungian Psychology are real organizations with real documented founders/presidents (e.g. Erel Shalit, Eli Weisstub, Henry Abramovitch). Correct school/field is 'علم النفس التحليلي اليونغي' (Jungian Analytical Psychology), not the generic 'مدرسة التحليل النفسي' (which usually denotes Freudian psychoanalysis).",FALSE
thinkers,باري كريمر,Barry S. Kramer,thk-barry-kramer,2010,PCIT (العلاج التفاعلي بين الوالد والطفل),LIKELY_FABRICATED,"No trace found in the PCIT field; a different, unrelated Barry Kramer (test-prep tutor) exists.",FALSE
thinkers,غاستون بوييسن,Gaston Boyesen,thk-bboyesen,1970,PBSP (Pesso Boyden System Psychomotor),LIKELY_FABRICATED,"No 'Gaston Boyesen' found. PBSP was founded by Albert Pesso and Diane Boyden-Pesso. A real body-psychotherapy pioneer named Boyesen exists (Gerda Boyesen, founder of Biodynamic Psychology) but different first name/gender and different specific school.",FALSE
thinkers,برنارد وايت,Bernard White,thk-bcwhite,1980-2010,br-dynamic-couples-family-therapy,LIKELY_FABRICATED,"No trace of this specific person found in this field.",FALSE
thinkers,بيرنارد دانِفَر,Bernard Dannefer,thk-bdanner,1990,علم نفس الأوبونتو (Ubuntu),LIKELY_FABRICATED,"No trace found.",FALSE
thinkers,مايكل بينثال,Michael Benthall,thk-benthall,1990,الديانيتكس / السيانتولوجيا,LIKELY_FABRICATED,"No trace of this person found in Dianetics/Scientology history; only a single unrelated Facebook mention of a surname 'Benthall'.",FALSE
thinkers,بيل ماثيوز,Bill Matthews,thk-bill-matthews,2015,Discernment Counseling (الاستشارة التمييزية),LIKELY_FABRICATED,"No trace found. Discernment Counseling was founded by Bill (William J.) Doherty -- same first name but different surname, not a spelling variant.",FALSE
thinkers,بوب مور,Bob Moore,thk-bmoore,1971,EST / Landmark Forum,LIKELY_FABRICATED,"No trace found; EST was founded by Werner Erhard.",FALSE
