category,title_ar,title_en,slug,active_period,school
thinkers,أمجد عبد الخالق,Amjad M. T. Abdel-Khalek,thk-aabdelkhalek,1990,علم النفس الإيجابي الإسلامي
thinkers,ألكسندرا أدلر,Alexandra Adler,thk-aadler,,مدرسة التحليل النفسي
thinkers,آسين علادين,Assen Alladin,thk-aalladin,1988,التنويم المعرفي
thinkers,آن ألفاريز,Anne Alvarez,thk-aalvarez,,التحليل النفسي
thinkers,أليس بالينت,Alice Bálint,thk-abalint,,التحليل النفسي
thinkers,ألبرت باندورا,Albert Bandura,thk-abandura,1953-2021,المعرفية السلوكية
thinkers,ألكسندر بَتياني,Alexander Batthyány,thk-abatth,1998,br-logotherapy
thinkers,أوغوستو بوال,Augusto Boal,thk-aboal,1971-2009,علاج الدراما
thinkers,أرماند فولكاس,Armand Volkas,thk-aboller,1990,الشعر العلاجي
thinkers,كارل أبراهام,Karl Abraham,thk-abraham,,مدرسة التحليل النفسي
thinkers,هنري أبراموفيتش,Henry Abramovitch,thk-abramovitch,,التحليل النفسي
thinkers,أ. تشارلز كاتانيا,A. Charles Catania,thk-acatania,,مدرسة التحليل النفسي
thinkers,أندرو كريستينسن,Andrew Christensen,thk-achristensen,1979,الموجة الثالثة
thinkers,أنطونيو داماسيو,Antonio R. Damásio,thk-adamasio,1994,علم النفس
thinkers,آدم بلاتنر,Adam Blatner,thk-adamblatner,1970-2020,السيكودراما والسوسيومتري (Moreno)
thinkers,أغوستين دي لا سيرنا,Agustín de la Serna,thk-adelaserna,,مدرسة التحليل النفسي
thinkers,ألفرد أدلر,Alfred Adler,thk-adler,,مدرسة التحليل النفسي
thinkers,أبِي فاريا,Abbé Faria,thk-afaria,1813-1819,الماسمرية
thinkers,أنطونيو فيرو,Antonio Ferro,thk-aferro,,التحليل النفسي
thinkers,آنا فرويد,Anna Freud,thk-afreud,,مدرسة التحليل النفسي
thinkers,أليسيا غارسيا غونثاليث,Alicia García González,thk-agarciag,,مدرسة التحليل النفسي
thinkers,أرنولد غولدشتاين,Arnold P. Goldstein,thk-agoldstein,1973-2002,br-aggression-treatment
thinkers,أليكس هالفرد,Alex Halford,thk-ahalford,1995,CBCT (العلاج الزوجي المعرفي-السلوكي)
thinkers,ألكسا هِبِرن,Alexa Hepburn,thk-ahepburn,1995,علم النفس الخطابي (Discursive Psychology)
thinkers,أدريان هيل,Adrian Hill,thk-ahill,1939-1977,العلاج بالفن
thinkers,ألبرت هوفمان,Albert Hofmann,thk-ahofmann,1938-2008,العلاج بمساعدة المواد النفسانية
thinkers,أوغست أيشهورن,August Aichhorn,thk-aichhorn,,التحليل النفسي
thinkers,ستيفن أيزنستات,Stephen Aizenstat,thk-aizenstat,,التحليل النفسي
thinkers,آرثر يانوف,Arthur Janov,thk-ajanov,1967-2017,العلاج البدائي
thinkers,آن جِرنبرغ,Ann M. Jernberg,thk-ajernberg,1967-2013,Theraplay (العلاج بالألعاب العلائقي)
thinkers,أَميت ميمن (أَميت كلمان),Amit Maimon (Amit Kalman),thk-akelman,,مدرسة التحليل النفسي
thinkers,نوبلز إيفانز هيل,Nobles Evans Hill,thk-akhil,1972,علم النفس المتمركز حول أفريقيا
thinkers,أتسيلا كلاينغر,Atzila Klingner,thk-aklinger,1995,العلاج التكاملي-النمائي (DIR/Floortime)
thinkers,إيمي فونتانا,Amy E. Fontana,thk-albertellis-somatic,2000,الخبرة الجسدية (Somatic Experiencing)
thinkers,أنتوني لِمّا,Anthony Lemma,thk-alemma,2008,العلاج الديناميكي البيني القصير (DIT)
thinkers,ألكسندرا فاركاش,Alexandra Farkas,thk-alexandra-farkas,2015,العلاج الحسي-الحركي (Sensorimotor Psychotherapy)
thinkers,آن لي (Ann Li),Ann Li,thk-ali,,مدرسة التحليل النفسي
thinkers,ألي كورازون,Ali B. Coronado,thk-alicorazon,1995,Sikolohiyang Pilipino (Filipino Psychology)
thinkers,أمبرواز ليبو,Ambroise-Auguste Liébeault,thk-aliebeault,1860-1904,الماسمرية
thinkers,أليكس لينلي,Alex Linley,thk-alinley,2001,العلاج القائم على القوة (Strengths-Based)
thinkers,ألفين مارر,Alvin R. Mahrer,thk-alvinmahrer,1970-2010,العلاج بالخبرة/التجريبي
thinkers,ألان مارلات,G. Alan Marlatt,thk-amarlatt,1973-2011,الموجة الثالثة
thinkers,أبراهام ماسلو,Abraham H. Maslow,thk-amaslow,1943-1970,علم النفس الإنساني
thinkers,أليس ميلر,Alice Miller,thk-amiller,1979-2010,علم نفس الطفل
