category,title_ar,title_en,slug,active_period,school,status,note
thinkers,لاري نيمز,Larry Nims,thk-larrynims,1991-2024,تقنيات الحرية الانفعالية / علم النفس الطاقي (BSFF - Be Set Free Fast),VERIFIED,"Confirmed via search: clinical psychologist Larry P. Nims Ph.D. (d. Dec 2024) created Be Set Free Fast (BSFF) in 1991, an energy-psychology method related to the EFT/tapping family; active_period corrected to his working span."
thinkers,لارس يوهانسون,Lars Johansson,thk-lars-johansson,2005,فرق العكس العاكسة (Reflecting Teams),UNCERTAIN,"Search found no documented therapist named Lars Johansson associated with Reflecting Teams; the method is attributed to Tom Andersen. Could not independently confirm this person exists in this role."
thinkers,لاڤينيا شو,Lavinia Shaw,thk-lavinia-shaw,2005,طريقة فيلدنكرايس,UNCERTAIN,"Search returned no 'Lavinia Shaw' in Feldenkrais literature; found a well-documented 'Lavinia Plonka' (Feldenkrais Guild practitioner/author) instead, suggesting possible name confusion. Could not confirm 'Lavinia Shaw' independently."
thinkers,لورا بارِت,Laurence A. Barrett,thk-lbarrett,1980-2010,العلاج بالتحويل (Conversion Therapy),UNCERTAIN,"Search did not surface any documented 'Laurence A. Barrett' figure specifically tied to conversion therapy history. Cannot confirm identity or dates. Also note near-duplicate pattern with thk-lwalker (Laura A. Walker), same school and identical date range 1980-2010 — worth checking for entry confusion."
thinkers,لويس كوتزولينو,Louis Cozolino,thk-lcozolino,1986-present,التكامل العصبي البيني الشخصي (Interpersonal Neurobiology),VERIFIED,"Confirmed via search: Louis Cozolino, Ph.D. UCLA, professor at Pepperdine since 1986, prominent author in the Norton Series on Interpersonal Neurobiology (e.g. 'The Neuroscience of Psychotherapy'). Active period corrected from single-year '2002' to his actual career span."
thinkers,ألن وولاس,H. Allan Wallace,thk-lcwallace,1972,علم النفس التكاملي (Integral),UNCERTAIN,"Not verified this session (search budget exhausted before this row could be checked). Note: the well-documented contemplative-psychology scholar in this space is usually referred to as 'B. Alan Wallace', not 'H. Allan Wallace' — possible name/initial error worth checking."
thinkers,لاري ديفيدسون,Larry Davidson,thk-ldavidson,1990,دعم الأقران (br-peer-support),UNCERTAIN,"Not verified via search this session (search budget exhausted). Cannot independently confirm name, dates, or school match."
thinkers,لويز دي سالفو,Louise DeSalvo,thk-ldesalvo,1980-2018,العلاج بالكتابة/الكتابة التعبيرية,UNCERTAIN,"Not verified via search this session (search budget exhausted). DeSalvo is known in general knowledge as author of 'Writing as a Way of Healing' but this was not independently confirmed by search in this run."
thinkers,لي هيونغ-جون,Lee Hyung-Jun,thk-leehyungjun,2000,علاج الهوابيونغ (Hwabyung),UNCERTAIN,"Not verified via search this session (search budget exhausted). Cannot independently confirm this specific person's role in Hwabyung treatment literature."
thinkers,ليون فِستِنغر,Leon Festinger,thk-lfestinger,1945-1989,نظرية التنافر المعرفي (Cognitive Dissonance),UNCERTAIN,"Not verified via search this session (search budget exhausted). Flag: listed school 'الحقل الظاهراتي (Lewin)' (phenomenal field) does not match Festinger's actual primary contribution, cognitive dissonance theory — school field likely needs correction pending verification."
thinkers,لورانس فيشباين,Lawrence Fischbein,thk-lfish,1980,إعادة التأهيل المهني النفسي (br-psychiatric-vocational-rehab),UNCERTAIN,"Not verified via search this session (search budget exhausted). Cannot independently confirm this person."
thinkers,ليندا هاتش,Linda M. Hatch,thk-lhatch,1990,Body-Mind Centering,UNCERTAIN,"Not verified via search this session (search budget exhausted). Flag: Body-Mind Centering is founded and primarily associated with Bonnie Bainbridge Cohen, not Linda M. Hatch — possible attribution error."
thinkers,لين هوفمان,Lynn Hoffman,thk-lhoffman,1970,العلاج الأسري الاستراتيجي (MRI/Palo Alto),UNCERTAIN,"Not verified via search this session (search budget exhausted). Lynn Hoffman is a known real family therapy author, but not independently confirmed here."
thinkers,ليندا توهيواي سميث,Linda Tuhiwai Smith,thk-lindatuhiwai,1990,Kaupapa Māori Psychology,UNCERTAIN,"Not verified via search this session (search budget exhausted). Believed to be a real Māori scholar (author of 'Decolonizing Methodologies') but not independently confirmed here."
thinkers,لورنس كولبرغ,Lawrence Kohlberg,thk-lkohlberg,1958-1987,علم نفس الطفل / نظرية النمو الأخلاقي,UNCERTAIN,"Not verified via search this session (search budget exhausted). Widely known moral-development psychologist, but per instructions not marked VERIFIED without this session's own search confirmation."
