category,title_ar,title_en,slug,active_period,school,status,note
thinkers,جيل فريدمان,Jill Freedman,thk-jfreedman,1985,العلاج السردي (Narrative Therapy),VERIFIED,"Confirmed: MSW, co-director Evanston Family Therapy Center, co-author of Narrative Therapy (1996) with Gene Combs; Dulwich Centre faculty."
thinkers,جوزيف غانت,Joseph Gantt,thk-jgantt,2000,السيكودراما والسوسيومتري,UNCERTAIN,"Could not independently confirm a 'Joseph Gantt' in sociometry/psychodrama; only found 'S.P. Gantt' (interpersonal neurobiology/sociometry editor), not clearly the same person."
thinkers,جين غيبسر,Jean Gebser,thk-jgebser,1949-1973,علم النفس التكاملي (Integral),VERIFIED,"Real: German-Swiss philosopher of consciousness (1905-1973), author of The Ever-Present Origin (1949), foundational to Wilber's Integral Psychology. Active period plausible (major work 1949, died 1973)."
thinkers,جون جيدو,John E. Gedo,thk-jgedo,1965-2014,التنويم التحليلي,VERIFIED,"Real: American psychoanalyst (b. 1927), Chicago Institute for Psychoanalysis, prolific psychoanalytic theorist (models of the mind, self-organization). School label 'hypno-analysis' not confirmed as his focus — he is primarily a psychoanalytic/self-psychology theorist, not hypnosis-focused; consider correcting school to 'التحليل النفسي/نظرية الذات'."
thinkers,جوليا غوتمان,Julie Schwartz Gottman,thk-jgottman-sr,1990,طريقة غوتمان الزوجية,VERIFIED,"Real: clinical psychologist, co-founder of The Gottman Institute and co-creator of Gottman Method Couples Therapy with John Gottman. Active period (from ~1990s clinical/co-founding work) plausible."
thinkers,جيمس ليبشيتز,James Lubin,thk-jgould,1980,العلاج متعدد الأجهزة (MST),UNCERTAIN,"No documented 'James Lubin' (or 'James Lipschitz', per Arabic title) found in connection with Multisystemic Therapy. MST's documented founders are Scott Henggeler, Charles Borduin, and Molly Brunk — this entry appears unverifiable/possibly mistaken; note also that title_ar and title_en do not match each other (Lipschitz vs Lubin)."
thinkers,جايك غرينسبان,Jake Greenspan,thk-jgreenspan,2000,العلاج التكاملي-النمائي (DIR/Floortime),VERIFIED,"Real person: co-director of The Floortime Center, son of Dr. Stanley Greenspan (the actual originator of the DIR/Floortime model). Jake is a practitioner/popularizer, not the model's founder — consider clarifying school note to reflect he continues/teaches rather than created DIR/Floortime."
thinkers,جون غروزولير,John Gruzelier,thk-jgruzelier,1985,التغذية الراجعة العصبية,VERIFIED,"Real: Emeritus Professor of Psychology, Goldsmiths University of London, prominent EEG-neurofeedback researcher (performance optimization, clinical populations)."
thinkers,جاي هالي,Jay Haley,thk-jhaley,1953-2007,علاج التبعية-السلطة (SAR),VERIFIED,"Real: (1923-2007), pioneer of Strategic Family Therapy, co-Director of Family Therapy Institute of Washington DC. School label 'SAR' not found in sources — he is documented specifically as founder of Strategic Family Therapy; recommend correcting school to 'العلاج الأسري الاستراتيجي (Strategic Family Therapy)'."
thinkers,جوديث هِرمان,Judith L. Herman,thk-jherman,1981,علاج الصدمة العصبي,VERIFIED,"Real: MD, professor of psychiatry at Harvard, author of Trauma and Recovery (1992); earlier incest research from 1981 supports that start date. Known for Complex PTSD concept and trauma treatment, consistent with 'trauma therapy' label."
thinkers,جين هيوستن,Jean Houston,thk-jhouston,1971,EST / Landmark Forum,VERIFIED,"Real: (1937-2026), co-founder of Human Potential Movement, Foundation for Mind Research, Mystery School. No evidence links her to EST or Landmark Forum (those are associated with Werner Erhard) — school label appears incorrect; recommend correcting to 'حركة الإمكانات الإنسانية (Human Potential Movement)'."
thinkers,جيم أكرمان,Jim Ackerman,thk-jim-ackerman,2005,إعادة الولادة,UNCERTAIN,"Could not find any documented 'Jim Ackerman' connected to rebirthing therapy. Rebirthing was developed by Leonard Orr; the well-documented 'Ackerman' in therapy is Nathan Ackerman (family therapy pioneer, unrelated field/era). Likely unverifiable or confused entry."
thinkers,جيم لور,Jim Loehr,thk-jim-loehr,1975,br-performance-psychology,VERIFIED,"Real: EdD, world-renowned performance psychologist, worked with elite athletes and executives, author of The Power of Full Engagement. Matches performance psychology field."
thinkers,يونغ جينغ تشي,Yong Jingqi,thk-jingqiyong,2010,الطاوية المعرفية (Taoist Cognitive Therapy),UNCERTAIN,"Chinese Taoist Cognitive Therapy (CTCT) is a real, documented modality developed by Chinese psychiatrists, but could not independently confirm a specific person named 'Yong Jingqi' as its originator/associated figure via search."
thinkers,هانز يوناس,Hans Jonas,thk-jjonas,1979-1993,البحث الظاهراتي,VERIFIED,"Real: German-American philosopher (1903-1993), studied under Heidegger, author of The Phenomenon of Life — phenomenological philosophy of biology influential on phenomenological psychology. Active period given (1979-1993) does not match his real career span; his major relevant work (The Phenomenon of Life) was published 1966. Recommend correcting active_period to something like '1930-1993' or '1966-1993'. He is a philosopher, not a psychologist/therapist per se."
thinkers,مارغريت بِي,Margaret P. Be,thk-jjoyce,1995,تشكيلات الأسرة (Family Constellations),UNCERTAIN,"Could not find any documented person named 'Margaret P. Be' (or similar) associated with Family Constellations. The well-documented founder of this method is Bert Hellinger; this entry appears unverifiable."
thinkers,جيروم كاغان,Jerome Kagan,thk-jkagan,1957-2021,علم نفس الطفل,VERIFIED,"Real: (1929-2021), Harvard developmental psychologist, pioneer of temperament research in child psychology. Active period broadly matches (professor from 1963, died 2021)."
thinkers,جو كاميا,Joe Kamiya,thk-jkamiya,1958-2010,التغذية الراجعة العصبية,VERIFIED,"Real: pioneering neurofeedback/biofeedback researcher, first demonstrated operant control of alpha brainwaves in 1958 ('father of neurofeedback'). End date of active period (2010) not independently confirmed but plausible."
