بيتر ليفين	['thk-peter-levine', 'thk-plevine']
ماريو تريفي	['thk-mtrevi', 'thk-jmertz']
تشارلز برينر	['thk-ibrenner', 'thk-cbrenner']
ديفيد بيرسيلي	['thk-jboss', 'thk-david-berceli']
بول إيكمان	['thk-paul-ekman', 'thk-ekman']
[مدخل غير محقَّق — منسوب إلى TEACCH]	['thk-jroddy', 'thk-cwhitaker-pt']
إريك بيرن	['thk-berne', 'thk-eburne']
ديل كارنيجي	['thk-dale-carnegie', 'thk-carnegie']
روبرتو أساجيولي	['thk-assagioli', 'thk-robert-assagioli']
مايكل يابكو	['thk-michael-yapko-jr', 'thk-michael-yapko']
نعوم تشومسكي	['thk-noam-chomsky', 'thk-nchomsky']
الذكاء العاطفي	['wrk-emotional-intelligence', 'con-emotional-intelligence']
إبادة الطبقية (Annihilation of Caste)	['wrk-annihilation-of-caste', 'con-annihilation-of-caste']
الاستشراق (Orientalism)	['wrk-orientalism-said', 'con-orientalism']
علاج الأسر الرملية	['con-family-sandplay', 'br-family-sandplay']
الديمقراطية التداولية	['con-deliberative-democracy', 'sch-deliberative-democracy']
النظرية الكويرية	['con-queer-theory', 'sch-queer-theory']
العلاج النقدي-التحرري	['con-critical-liberation-therapy', 'br-critical-liberation-therapy']
العلاج الديناميكي للأزواج والأسرة	['con-dynamic-couple-family', 'br-dynamic-couples-family-therapy']
الامتناع الكامل مقابل الحد من الضرر	['con-abstinence-vs-harm-reduction', 'br-abstinence-vs-harm-reduction']
العدالة التصالحية	['con-restorative-justice', 'br-restorative-justice']
علم النفس النسوي التقاطعي	['con-intersectional-feminism', 'br-intersectional-feminist']
العلاج الأسري الوظيفي (FFT)	['br-fft', 'tec-functional-family-therapy']
العلاج متعدد الأنظمة (MST)	['br-mst', 'tec-multisystemic-therapy']
العلاج العقلاني الانفعالي السلوكي (REBT)	['sch-rebt', 'tec-rebt']
العلاج المعرفي القائم على اليقظة الذهنية (MBCT)	['sch-mbct', 'tec-mbct']
العلاج الجدلي السلوكي (DBT)	['sch-dbt', 'tec-dbt']
مسح الجسد	['tec-cbt-mind-body-scan', 'tec-act-pres-body-scan']
التصديق الذاتي	['tec-dbt-er-self-validation', 'tec-cbt-int-self-validation']
تمارين الرأفة بالذات	['tec-cbt-emo-self-compassion-exercises', 'tec-act-acc-self-compassion-exercises']
الاستعداد مقابل العناد	['tec-dbt-dt-willingness-vs-willfulness', 'tec-act-acc-willingness-vs-willfulness']
التقبل الجذري	['tec-dbt-dt-radical-acceptance', 'tec-act-acc-radical-acceptance']
الأكل بيقظة	['tec-dbt-er-mindful-eating', 'tec-act-pres-mindful-eating']
